"filename", "language", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\erikw\courses\1dv610\unit-converter\README.md", "Markdown", 0, 0, 195, 0, 35, 230
"c:\Users\erikw\courses\1dv610\unit-converter\TEST-REPORT.md", "Markdown", 0, 0, 161, 0, 60, 221
"c:\Users\erikw\courses\1dv610\unit-converter\index.js", "JavaScript", 0, 2, 0, 0, 1, 3
"c:\Users\erikw\courses\1dv610\unit-converter\package-lock.json", "JSON", 6156, 0, 0, 0, 1, 6157
"c:\Users\erikw\courses\1dv610\unit-converter\package.json", "JSON", 19, 0, 0, 0, 1, 20
"c:\Users\erikw\courses\1dv610\unit-converter\src\js\Converter.js", "JavaScript", 0, 111, 0, 49, 15, 175
"c:\Users\erikw\courses\1dv610\unit-converter\src\js\unitConverters\BaseConverter.js", "JavaScript", 0, 40, 0, 37, 7, 84
"c:\Users\erikw\courses\1dv610\unit-converter\src\js\unitConverters\SpeedConverter.js", "JavaScript", 0, 25, 0, 4, 3, 32
"c:\Users\erikw\courses\1dv610\unit-converter\src\js\unitConverters\TemperatureConverter.js", "JavaScript", 0, 56, 0, 16, 6, 78
"c:\Users\erikw\courses\1dv610\unit-converter\src\js\unitConverters\WeightConverter.js", "JavaScript", 0, 29, 0, 4, 4, 37
"Total", "-", 6175, 263, 356, 110, 133, 7037